check,file_type,atol,bulk_failing,bulk_margin,bulk_values,combined_margin,files,max_absolute_error_below_atol,max_bound_fraction,max_relative_error_above_atol,near_zero_failing,near_zero_margin,near_zero_values,rtol,unreadable_files,values,values_failing
pure-eft-gamma,lensedCls,0.1,0,10.451099999931532,284512,31.40109999931459,21,1.0000000000287557e-07,0.03184601813381785,9.568370793567675e-06,0,999999.9999712444,72383,0.0001,0,356895,0
pure-eft-gamma,lensedtotCls,0.1,0,10.162600000023685,284680,110.42940000104201,21,2.0000000000575113e-07,0.009055559479545882,9.840001574377319e-06,0,499999.9999856222,72215,0.0001,0,356895,0
pure-eft-gamma,lenspotentialCls,0.1,0,10.181099999951387,292892,27.497000000025015,21,1.0000000000287557e-07,0.03636760373855658,9.822121381822935e-06,0,999999.9999712444,294940,0.0001,0,587832,0
pure-eft-gamma,matterpower,1.0,0,,15148,,21,0.0,0.0,0.0,0,,12320,0.0001,0,27468,0
pure-eft-gamma,scalCls,100.0,0,10.419099999950252,200777,10020.367000009113,21,0.00010000000000331966,9.979674397146238e-05,9.597757963785498e-06,0,999999.9999668035,240097,0.0001,0,440874,0
pure-eft-gamma,scalarCovCls,0.1,0,10.078000000023488,366595,29.110000000026478,21,1.0000000000287557e-07,0.0343524562005871,9.922603691185448e-06,0,999999.9999712444,1543859,0.0001,0,1910454,0
pure-eft-gamma,tensCls,0.01,0,,143592,1000056.8888059391,21,9.999999999940612e-09,9.99943114430213e-07,0.0,0,1000000.0000059388,223803,0.0001,0,367395,0
pure-eft-gamma,totCls,0.1,0,10.181099999951387,292892,27.497000000025015,21,1.0000000000287557e-07,0.03636760373855658,9.822121381822935e-06,0,999999.9999712444,74503,0.0001,0,367395,0
pure-eft-gamma,transfer_out,1000.0,0,,41310,14338767.727080708,21,6.974100000000001e-05,6.974099999621058e-08,0.0,0,14338767.7263016,27486,0.0001,0,68796,0
pure-eft-omega,lensedCls,0.1,0,10.93300000002548,94812,34.15009999925458,7,2.0000000000054696e-07,0.029282491120723737,9.146620323769043e-06,0,499999.99999863264,24153,0.0001,0,118965,0
pure-eft-omega,lensedtotCls,0.1,0,10.259599999841665,94867,34.055099999256655,7,1.9999999999881224e-07,0.02936417746598388,9.746968692886984e-06,0,500000.0000029694,24098,0.0001,0,118965,0
pure-eft-omega,lenspotentialCls,0.1,0,10.200199999989799,97631,112.98639999946052,7,1.0000000000287557e-07,0.00885062272985753,9.803729338650223e-06,0,999999.9999712444,98313,0.0001,0,195944,0
pure-eft-omega,matterpower,1.0,0,,5014,,7,0.0,0.0,0.0,0,,4142,0.0001,0,9156,0
pure-eft-omega,scalCls,100.0,0,10.117699999951691,66863,10023.215200237019,7,0.00010000000000331966,9.976838569487694e-05,9.88366921340596e-06,0,999999.9999668035,80095,0.0001,0,146958,0
pure-eft-omega,scalarCovCls,0.1,0,10.5982000000247,122172,113.5543999994578,7,1.0000000000287557e-07,0.008806351845501142,9.43556452980383e-06,0,999999.9999712444,514646,0.0001,0,636818,0
pure-eft-omega,tensCls,0.01,0,70.143099997983,47824,100070.1430971224,7,9.999999999940612e-09,9.992990606893174e-06,1.4256569784180563e-06,0,1000000.0000059388,74641,0.0001,0,122465,0
pure-eft-omega,totCls,0.1,0,10.200199999989799,97631,112.98639999946052,7,1.0000000000287557e-07,0.00885062272985753,9.803729338650223e-06,0,999999.9999712444,24834,0.0001,0,122465,0
pure-eft-omega,transfer_out,1000.0,0,,13778,10000027.987223307,7,9.999999999976694e-05,9.999972012855022e-08,0.0,0,10000000.000023305,9154,0.0001,0,22932,0
pure-eft-wde,lensedCls,0.1,0,10.346800000024114,27096,26.44000000002405,2,1.0000000000287557e-07,0.0378214826020836,9.664823906885892e-06,0,999999.9999712444,6894,0.0001,0,33990,0
pure-eft-wde,lensedtotCls,0.1,0,10.162600000023685,27113,27.808500000025298,2,1.0000000000287557e-07,0.03596022798781273,9.840001574377319e-06,0,999999.9999712444,6877,0.0001,0,33990,0
pure-eft-wde,lenspotentialCls,0.1,0,10.38129999995043,27894,21.511400000019567,2,3.000000000016878e-07,0.046486978997140604,9.632704959925779e-06,0,333333.33333145804,28090,0.0001,0,55984,0
pure-eft-wde,matterpower,1.0,0,,1449,,2,0.0,0.0,0.0,0,,1171,0.0001,0,2620,0
pure-eft-wde,scalCls,100.0,0,20.367000000018525,19023,10020.367000009113,2,0.00010000000000331966,9.979674397146238e-05,4.909903274901019e-06,0,999999.9999668035,22965,0.0001,0,41988,0
pure-eft-wde,scalarCovCls,0.1,0,10.099600000023539,34851,25.867700000023532,2,3.000000000016878e-07,0.03865824947711201,9.901382232936644e-06,0,333333.33333145804,147097,0.0001,0,181948,0
pure-eft-wde,tensCls,0.01,0,,13600,1000068.7918059392,2,9.999999999940612e-09,9.999312129260479e-07,0.0,0,1000000.0000059388,21390,0.0001,0,34990,0
pure-eft-wde,totCls,0.1,0,10.38129999995043,27894,21.511400000019567,2,3.000000000016878e-07,0.046486978997140604,9.632704959925779e-06,0,333333.33333145804,7096,0.0001,0,34990,0
pure-eft-wde,transfer_out,1000.0,0,,3976,9999999999459340.0,2,1.0000000000540735e-13,1.0000000000540659e-16,0.0,0,9999999999459266.0,2615,0.0001,0,6591,0
quintessence-galileon,lensedCls,0.1,0,10.181799999933299,81294,111.47739999946772,6,2.9999999999821836e-07,0.008970428086811989,9.821446109789537e-06,0,333333.33333531296,20676,0.0001,0,101970,0
quintessence-galileon,lensedtotCls,0.1,0,10.665600000024858,81341,20.819000000018935,6,2.0000000000054696e-07,0.048033046736110786,9.375937593737525e-06,0,499999.99999863264,20629,0.0001,0,101970,0
quintessence-galileon,lenspotentialCls,0.1,0,10.143899999989857,83631,32.03050000075743,6,2.999999999947489e-07,0.031220243204956307,9.858141346040478e-06,0,333333.3333391679,84321,0.0001,0,167952,0
quintessence-galileon,matterpower,1.0,0,,4340,,6,0.0,0.0,0.0,0,,3562,0.0001,0,7902,0
quintessence-galileon,scalCls,100.0,0,10.408199999950302,56697,10011.605600009107,6,0.00010000000000331966,9.988407853372594e-05,9.607809227385859e-06,0,999999.9999668035,69267,0.0001,0,125964,0
quintessence-galileon,scalarCovCls,0.1,0,10.232999999989767,104574,21.605600000019653,6,2.0000000000228169e-07,0.04628429666378579,9.772305286826933e-06,0,499999.9999942958,441270,0.0001,0,545844,0
quintessence-galileon,tensCls,0.01,0,92.90930000764334,40557,10092.90930083031,6,9.999999999940612e-09,9.907945966756418e-05,1.0763185170028548e-06,0,1000000.0000059388,64413,0.0001,0,104970,0
quintessence-galileon,totCls,0.1,0,10.143899999989857,83631,32.03050000075743,6,2.999999999947489e-07,0.031220243204956307,9.858141346040478e-06,0,333333.3333391679,21339,0.0001,0,104970,0
quintessence-galileon,transfer_out,1000.0,0,,12006,100000000044.74149,6,9.999999999940612e-09,9.999999995525852e-12,0.0,0,100000000000.59389,8053,0.0001,0,20059,0
rph-alpha-basis,lensedCls,0.1,0,10.250299999951057,94846,32.90610000077813,7,1.0000000000287557e-07,0.03038950224962402,9.755812025060485e-06,0,999999.9999712444,24119,0.0001,0,118965,0
rph-alpha-basis,lensedtotCls,0.1,0,10.053799999951995,94909,110.0537999994745,7,1.0000000000287557e-07,0.00908646498353328,9.946487895171725e-06,0,999999.9999712444,24056,0.0001,0,118965,0
rph-alpha-basis,lenspotentialCls,0.1,0,10.00970000002333,97652,27.63040000002513,7,9.999999999940612e-08,0.03619202038331296,9.990309399858831e-06,0,1000000.0000059388,98292,0.0001,0,195944,0
rph-alpha-basis,matterpower,1.0,0,,5066,,7,0.0,0.0,0.0,0,,4090,0.0001,0,9156,0
rph-alpha-basis,scalCls,100.0,0,10.033100000094674,66795,132.2481,7,0.00010000000000331966,0.007561545307645252,9.967009199455442e-06,0,999999.9999668035,80163,0.0001,0,146958,0
rph-alpha-basis,scalarCovCls,0.1,0,10.033100000094674,122084,42.14389999908009,7,1.0000000000287557e-07,0.02372822638678024,9.967009199455442e-06,0,999999.9999712444,514734,0.0001,0,636818,0
rph-alpha-basis,tensCls,0.01,0,,47824,,7,0.0,0.0,0.0,0,,74641,0.0001,0,122465,0
rph-alpha-basis,totCls,0.1,0,10.00970000002333,97645,27.63040000002513,7,9.999999999940612e-08,0.03619202038331296,9.990309399858831e-06,0,1000000.0000059388,24820,0.0001,0,122465,0
rph-alpha-basis,transfer_out,1000.0,0,,13875,500011.38274761254,7,0.0020000000000095497,1.9999544700460618e-06,0.0,0,499999.99999761255,9057,0.0001,0,22932,0
