check,file,atol,bulk_failing,bulk_margin,bulk_values,combined_margin,files,max_absolute_error_below_atol,max_bound_fraction,max_relative_error_above_atol,near_zero_failing,near_zero_margin,near_zero_values,rtol,values,values_failing
designer-mc5e,4_Des_mc5e_turning_point_2_lenspotentialCls.dat,0.1,0,10.000300000023307,13945,118.54099999943399,1,2.1000000000048757e-06,0.008435899815294074,9.999700008976425e-06,0,47619.04761893706,14047,0.0001,27992,0
designer-mc5e,4_Des_mc5e_turning_point_2_matterpower.dat,1.0,0,,722,,1,0.0,0.0,0.0,0,,592,0.0001,1314,0
designer-mc5e,4_Des_mc5e_turning_point_2_scalCls.dat,100.0,0,10.120400000095495,9425,10011.212000009105,1,0.00010000000000331966,9.988800556806613e-05,9.881032370168809e-06,0,999999.9999668035,11569,0.0001,20994,0
designer-mc5e,4_Des_mc5e_turning_point_2_scalarCovCls.dat,0.1,0,3.572900000012955,17421,21.75940000001979,1,1.6000000000043757e-06,0.04595714955371428,2.7988468750773156e-05,0,62499.99999982908,73553,0.0001,90974,0
designer-mc5e,4_Des_mc5e_turning_point_2_tensCls.dat,0.01,0,,6674,,1,0.0,0.0,0.0,0,,10821,0.0001,17495,0
designer-mc5e,4_Des_mc5e_turning_point_2_totCls.dat,0.1,0,10.000300000023307,13945,118.54099999943399,1,2.1000000000048757e-06,0.008435899815294074,9.999700008976425e-06,0,47619.04761893706,3550,0.0001,17495,0
designer-mc5e,4_Des_mc5e_turning_point_2_transfer_out.dat,1000.0,0,,2008,1000000066.7962443,1,1.0000000000287557e-06,9.999999332037602e-10,0.0,0,999999999.9712443,1346,0.0001,3354,0
designer-mc5e,4_Des_mc5e_wCDM_1_lensedCls.dat,0.1,0,10.346800000024114,13549,26.44000000002405,1,1.0000000000287557e-07,0.0378214826020836,9.664823906885892e-06,0,999999.9999712444,3446,0.0001,16995,0
designer-mc5e,4_Des_mc5e_wCDM_1_lensedtotCls.dat,0.1,0,12.29720000002866,13557,27.808500000025298,1,1.0000000000287557e-07,0.03596022798781273,8.131932472413797e-06,0,999999.9999712444,3438,0.0001,16995,0
designer-mc5e,4_Des_mc5e_wCDM_1_lenspotentialCls.dat,0.1,0,10.38129999995043,13947,21.511400000019567,1,3.000000000016878e-07,0.046486978997140604,9.632704959925779e-06,0,333333.33333145804,14045,0.0001,27992,0
designer-mc5e,4_Des_mc5e_wCDM_1_matterpower.dat,1.0,0,,724,,1,0.0,0.0,0.0,0,,588,0.0001,1312,0
designer-mc5e,4_Des_mc5e_wCDM_1_scalCls.dat,100.0,0,20.743599999900955,9485,10021.96589978124,1,0.00010000000000331966,9.978082244540744e-05,4.8207639947008945e-06,0,999999.9999668035,11509,0.0001,20994,0
designer-mc5e,4_Des_mc5e_wCDM_1_scalarCovCls.dat,0.1,0,10.099600000023539,17426,25.867700000023532,1,3.000000000016878e-07,0.03865824947711201,9.901382232936644e-06,0,333333.33333145804,73548,0.0001,90974,0
designer-mc5e,4_Des_mc5e_wCDM_1_tensCls.dat,0.01,0,,6768,1000068.7918059392,1,9.999999999940612e-09,9.999312129260479e-07,0.0,0,1000000.0000059388,10727,0.0001,17495,0
