model,nodes,a,theta,C_exact,C_table,C_error_over_exact_AH2
5_Kmimic_1,3997,1.032675384295327E-8,0.199938274151950010189810199239682558313528572846612978074,0.331300077200515322824113263032249167060896165086405183421478,-23142.1637594575512020870363162720924176724722720529529538396,-0.0000996782689097472120139830242778878812797299274300709338846491
5_Kmimic_1,3997,0.000001,0,0.0000385941195073605809486525994150196882513703140429087799558017,0.0000385941195073605809486525994150196882513703140429087799558017,0.00000
5_Kmimic_1,3997,0.02,0.65731807480765067490006925767490388507630736917619234183,-8.36363095775351523567147235843432425955431452328350524588529E-12,-8.36450143201734208713329676489553175668441758482637130414277E-12,-0.0000445996001825269516460310435621806712951563036451990746903967
5_Kmimic_1,7993,1E-8,0,0.352517218602380513142800987963302449617996839486918156253174,0.352517218602380513142800987963302449617996839486918156253174,0E-9
5_Kmimic_1,7993,1.032675384295327E-8,0.399876548303900020379620398479365116627057145693225956149,0.331300077200515322824113263032249167060896165086405183421478,-8721.46087769104965749051886489242758538250437788192041666657,-0.0000375660940548555943323341446826331993988105682644049681660631
5_Kmimic_1,7993,0.000001,0,0.0000385941195073605809486525994150196882513703140429087799558017,0.0000385941195073605809486525994150196882513703140429087799558017,0.00000
5_Kmimic_1,7993,0.02,0.31463614961530134980013851534980777015261473835238468367,-8.36363095775351523567147235843432425955431452328350524588529E-12,-8.36383857234806096034855154116591115014325269554763955404587E-12,-0.0000106373367870627829179334962024088250318131495924535764026655
5_Kmimic_2,1000,1E-8,0,0.309452514397283435872780040753257946132520194970253061863070,0.309452514397283435872780040753257946132520194970253061863070,0E-9
5_Kmimic_2,1000,1.032675384295327E-8,0.549984568537987502547452549809920639578382143211653244519,0.290727639616003795051629416982015835271375836152581633489416,-505444.040204064517658240499910896185772884356691033532584142,-0.00249275199735026894104949746726257196286749674944435983757579
5_Kmimic_2,1000,0.000001,0,0.0000334676149842934072306819641865468552619193361851913216074584,0.0000334676149842934072306819641865468552619193361851913216074584,0.00000
5_Kmimic_2,1000,0.02,0.414329518701912668725017314418725971269076842294048085458,-6.21352482651193311141685422100655579026867757932871850966834E-12,-6.22615787370445015378525649447232640789921829826517205461081E-12,-0.000699429186195919803717153850810241885853543624046386096940418
5_Kmimic_2,1999,1E-8,0,0.309452514397283435872780040753257946132520194970253061863070,0.309452514397283435872780040753257946132520194970253061863070,0E-9
5_Kmimic_2,1999,1.032675384295327E-8,0.099969137075975005094905099619841279156764286423306489038,0.290727639616003795051629416982015835271375836152581633489416,-45041.5957590776028954394605236930739023832844331169487095359,-0.000222137722461387193735821769231314459256870992671313544158361
5_Kmimic_2,1999,0.000001,0,0.0000334676149842934072306819641865468552619193361851913216074584,0.0000334676149842934072306819641865468552619193361851913216074584,0.00000
5_Kmimic_2,1999,0.02,0.82865903740382533745003462883745194253815368458809617091,-6.21352482651193311141685422100655579026867757932871850966834E-12,-6.21539874085120246703260694731626085659489702737166444734526E-12,-0.000103749345770858999190012604642106755400388628961543734138983
5_Kmimic_2,2000,1E-8,0.111111111111111111111111111111111111111111111111111111111,0.309452514397283435872780040753257946132520194970253061863070,-56196.1144153812142597651645746755912697911658142194214829862,-0.000243703650726966803124780477900700147654559700402321745200746
5_Kmimic_2,2000,1.032675384295327E-8,0.212631784291728746338696343413444803320506410690785621414,0.290727639616003795051629416982015835271375836152581633489416,-84094.9083615860988444152091937812533136967764262939332453267,-0.000414740976737873458345554305662197720051121002361765190058348
5_Kmimic_2,2000,0.000001,0.333333333333333333333333333333333333333333333333333333333,0.0000334676149842934072306819641865468552619193361851913216074584,-0.00125749404695006425072956695237978849299003030336771287123533,-0.000548626655243745939784952575097804759435212733164891499021348
