model,a,theta,C_exact,C_table,C_exact_over_AH2,C_table_over_AH2,C_difference_over_exact_AH2,B_exact_over_AH,B_table_over_AH,sound_exact,sound_table,kinetic_table,gradient_table,Hdot_closure_over_H2,omega_derivative_relative,gamma1_derivative_relative,c_derivative_relative,lambda_derivative_relative
5_Kmimic_2,0.0645520308348548719455272446586958160510927286166090101461004,0.90000000000000000000000000000000000000000000000000000000,-1.41373762685153633959138550772375587469461644414686949127182E-12,-1.41475243270173505641479129072869526641344344219257450954796E-12,-1.46726006216795936918481452031567768094060390568239123822852,-1.46786565721446525637321790065141160485939332541905819100299,-0.00105322520004438120363364436219267005055155999532734759823642,0.00933673840377528425850679814861710292967880140075974010897944,0.00873807764411022019380976525385823832195713583425229913409827,0.00545947199692070193967419728919418001385530751061380821609980,0.00545792304188235522933107643237072594780839677577215970841346,0.000147317033596651021757048069236067562945096132375127753220979,8.04045032128918667047531865074238145866473975072505110270246E-7,0.000262414050543342992727526876409261897842943640889192098313746,0.00981508155886128219237734066007037387512769929922917440590763,0.0313421444750144413945847468466419338424051054729005090127817,0.00278662890288363872360495871241147621646334410547831972527896,0.0218803793535472188807341045798304722756767837339917903783123
5_Kmimic_2,0.0648204007493792873639337378161240620735360106137748667328554,0.10000000000000000000000000000000000000000000000000000000,-1.39819846114817771345722403043152160945364522905119951678605E-12,-1.39914802090109512826595072852596297184432787839977120134583E-12,-1.46927461774492333129072584782227350896550821609849109414651,-1.46984146814521308784694971346812759612387499975583734273396,-0.000997829765774461367407319485966732583271225246650064816685534,0.00720056850092883676524780690573725093746260168191383643917298,0.00664039278103069409708031151541956973496981947378504929534987,0.00548145434013583467623004583454551273527460901391980512180863,0.00547996219185513006721451011713293971414989570468374324560997,0.000146101751181067575392069923568724965655785344051245539087315,8.00632072636075908472209131020599325702555415611575245509747E-7,-0.000260835146707493873324605647908909168918674879358238977150904,0.00986324255082856286069152978570304785381520947470701745360893,0.0317823330963535745279534886352044224125958044639550305612920,0.00282015277981565002286304348467340727669177888141692103679465,0.0219641773504816994668528317715921667085110745827655010666224
5_Kmimic_2,0.0653604923964529112241188842589808154594805177316914640929920,0.50000000000000000000000000000000000000000000000000000000,-1.36754910906302016886815593028568599257444118712114336364382E-12,-1.37020884775148377501127945228053043887462061494680578041577E-12,-1.47326238582048596140302304693195222220962800916738286537900,-1.47489866665718125447035957007249241986045628742049234086182,-0.00286533985496850513869108611143417404562318748752530278470292,0.00296737581209351503227116384526448538388981439810008167455446,0.00135023694113594666058967468517971265415703652633559190859126,0.00552582415980230135664887634331089302326784588486216426554758,0.00552154587208700060799937291327006777769928211438143944084539,0.000143777996732677898822802807443953566668815676539812894885824,7.93876804356255912883355330304111715185716746155994989163046E-7,-9.79956075611495530126679695756146455117046797174559196418546E-7,0.0000237931675058511947861355552884817470613462308267982072868230,0.000982005530310625388051822542828241914460019513911133588678810,0.0000790857590497753464349481744252691279854908922405634116997543,0.000227117649236304701504589121113726288747007635429311847410184
5_Kmimic_2,0.0659050841543537809826329048493280709489319252284449493402714,0.90000000000000000000000000000000000000000000000000000000,-1.33746654725539579593164544204535124291048435597984328815086E-12,-1.33843209749838816716836225704917625185610665143039709385774E-12,-1.47719546941751406878561887689784928012244563706154435674364,-1.47780827634777156110033806957585886365683858731504953191682,-0.00106642401439514314301247742969533122763103539750698239037304,-0.00121409292951104251748820661699012303105389559561456788596419,-0.00181977703914672005020219624569283787155873270862298641554681,0.00557073820850908384230478015208859203048270799470558227972764,0.00556914661042956353773588608800095502310183229894505591354466,0.000141336147319541159468517673067717868151294830471851381507397,7.87121725775796090462107074912650566723274864748996621884500E-7,0.000263209672857613929749837177371965942808076142188885388391084,0.00981362203361965259200520949323509415087573834051892604107390,0.0314620026786343603722113288912118490592859335283978759642078,0.00278708134314084551431185155077060532427260876256047034352709,0.0229118362191143704426420220689445301976733769568542238571096
5_Kmimic_2,0.0661790792800296452993706164332483808743803035067234283736341,0.10000000000000000000000000000000000000000000000000000000,-1.32263584194308463280435132134632265325727321001060526988433E-12,-1.32353892168098567300108045693995836035963934186472231010934E-12,-1.47914167002305590167695684210387106226238025362372926191789,-1.47971501269795373388360363457190778417567694047750594762394,-0.00100994002228196785565737020651745130974199217282391358102821,-0.00328560867585966578859907948136803483546705521040462581552899,-0.00385209709087625239439827348286941643162425555973849440699927,0.00559340085176558478626206949424644679926346518141956157453984,0.00559186800121932662801813875731860256950085787335024472219682,0.000140164034548173766831312700946178860280739497789145930106715,7.83778779711733084798521514490455601847597910922521265900417E-7,-0.000261653016986594344597807383645995327565265660433130326427442,0.00986175221441407132020140365242278729409830094406761003079939,0.0319014240815619922282948283499166940432647288319016951723219,0.00282061181885005382313901245448825206832443640082205991658594,0.0229718588978097541300303884219338285103811986329151184987871
5_Kmimic_2,0.0667304916057318959633624397352685819868045151088759273353575,0.50000000000000000000000000000000000000000000000000000000,-1.29339158132576900708892716061661100551874950202025716512991E-12,-1.29592085443134550558271446764325091367440769396879723567287E-12,-1.48299372113381540240583928971017971781908585832846011379609,-1.48464878457168426919133432812358762097749202718854586851048,-0.00290004681394151403462737253305094945028284234329693579314647,-0.00739056030101654300240756703598732580282651380712812791512479,-0.00902596461151276241792558023310976097079652798661140164230586,0.00563914047443961485385916950972170741629719332121650469707899,0.00563474504288966592777019498173994101946152966964143666559560,0.000137923201244943597962796396333197037330172618387814141812058,7.77162074514419738987126352302599098476921114716196652835342E-7,-9.73663431835949588646884966078875458198380969986922288062470E-7,0.0000237958350439467218254124525171282718367309551307262050298057,0.000988435791435694201690586487915701974809626446387885066065171,0.0000790860981808292700521439096757671425681163507683274692688095,0.000235138385190359668560908589933085360538511213495534267198102
5_Kmimic_2,0.0672864983675647822115727999963980683596833645092931332087460,0.90000000000000000000000000000000000000000000000000000000,-1.26469811271917271613582169936665561350974444064689748859558E-12,-1.26561620326335875909076089272231658046540038301376905072747E-12,-1.48679241668852366024439788086196751592073270655421716797150,-1.48741227738567898721858681848956584827479444494154665237743,-0.00107931690986270195897571373163949185222167617970382738294755,-0.0114452172925517816334657723952248547307105949362683631261337,-0.0120577618857320839605792476097602391508125488931754549548332,0.00568543671997721799994587334665449130916894926188562847536283,0.00568380136871860911867277956977300339471044726425602425157851,0.000135568699502470487941266855744471038756343483837234100970780,7.70545559787543582409285265819944233773089101414659826223160E-7,0.000264052356688903066022760145761252392211392148828387478155493,0.00981213107644077319276582593309114286272910014311174701358445,0.0315781888848477820101089641083117572817898689395105388605618,0.00278755822104457796000548235236970313841268405123370003839539,0.0239803447297552864963636852059817007795730666295077151278990
5_Kmimic_2,0.0675662366125434411553141197347326955636695631712510469748946,0.10000000000000000000000000000000000000000000000000000000,-1.25055587571116275729273386145373683023899263872736148973619E-12,-1.25141420504662388883906893508764852370273461887250774415330E-12,-1.48867192327931824089021699827439338989974783286790721289815,-1.48925161147203639984889829968978610097201172299452016564594,-0.00102176224784945540593764308986352463797360223976375077492278,-0.0134538653352525495571667615012492201754935909289633197510168,-0.0140265151751664783169427960853684256628690562435491046556733,0.00570879515591490348896549662396477197587272164495756219625322,0.00570722054260308921754612164848688310187501409567768849248778,0.000134438676982632008451649291645951851705942177104121540262875,7.67271178995658492371361783531918532750894252350461004683060E-7,-0.000262519272696854541178267955631150299627942347265886127601586,0.00986022978326459097709552559916139336358923630502185903886600,0.0320168489465182195233808447251175732787301030605054957609653,0.00282109553669656407583900497026459156425553575592746457934030,0.0240136280278352520465566597725414739208835932261735479851404
5_Kmimic_2,0.0681292069057961285497988179630023964652088631833053144297907,0.50000000000000000000000000000000000000000000000000000000,-1.22267625026211661428458568242160635152092435503466175928677E-12,-1.22507993827310757810339677683839076148587565081694788677460E-12,-1.49239158924525027793328852303396327700354518815861172740461,-1.49406501038207929605102132018432925077010750476014441338514,-0.00293392774252671375969781436266932109897784832643126462488153,-0.0174341618215743712888512145620768478598657813207615300491084,-0.0190873936688225372547740698886483718748741599499514169851883,0.00575593584649715125279478556135866901150488533083942697744598,0.00575142022082840371083636859418570252662789213296980939795986,0.000132278661934727165996857946063070408461607151815072472263131,7.60790171035514277108822728127509074710006188808152310950757E-7,-9.66969640099007943671157998939806863970882172294292096858484E-7,0.0000237985572198341651177423454390228977512048012804096418386377,0.000994689652505232521695074871952234927827679984895769991083863,0.0000790869663408814461537354600536475456930820904975898294055560,0.000243528877640487117594694521397382681742312714003718616395523
5_Kmimic_2,0.0686968679376036724810030255778455653287880703089732512997683,0.90000000000000000000000000000000000000000000000000000000,-1.19533083862285810998965714654410585202239706549879885880074E-12,-1.19620325398082858213339862304547812183059230582069958541278E-12,-1.49605924007876057823571396695721485213142302032097374240453,-1.49668599492662546656590676647332685778213598621745731707530,-0.00109190277311179345505151166291844513226013775092984741633921,-0.0213656087048436891017262332514119515092864787197545095285437,-0.0219848493052705416302300132060188671184855974230570163229721,0.00580364592983623528160102844977343245227397956099160717843051,0.00580196568679106610014816878482697906784084861639888839293963,0.000130009275311227039535125166252653363044800644781852998544353,7.54309354320312184341703583031637978421154144506571450038338E-7,0.000264944996733013318245363632967345490664855241337210915989612,0.00981060801207526744163822995472603994660510326043595108312768,0.0316907850192495158771004664685758264377143937107553171229188,0.00278805994688408903630630535149504356030515888295868211464952,0.0250873761096120933905418723651491909602853807407156203247647
