# BON2020_LIS spectra tabulated for shieldSim
# Source model: Badhwar-O'Neill 2020 LIS parameters (Z=1 and Z=2)
# Energy column: total kinetic energy [MeV]
# Flux columns: differential flux [particles / (m^2 sr s MeV)]
# NOTE:
#   proton flux is tabulated directly versus total kinetic energy (same as MeV/n for A=1)
#   alpha flux is converted from BON2020's MeV/n representation to total kinetic energy:
#       E_total = 4*T_n,  flux_per_MeV(total) = flux_per_MeV_per_nucleon / 4
# Columns:
#   E_MeV_total   proton_flux   alpha_flux
6.97729965e+02 5.89258956e-13 0.00000000e+00
7.10727970e+02 5.81021925e-13 0.00000000e+00
7.23968114e+02 5.72705517e-13 0.00000000e+00
7.37454909e+02 5.64316238e-13 0.00000000e+00
7.51192949e+02 5.55860620e-13 0.00000000e+00
7.65186915e+02 5.47345207e-13 0.00000000e+00
7.79441575e+02 5.38776545e-13 0.00000000e+00
7.93961785e+02 5.30161174e-13 0.00000000e+00
8.08752491e+02 5.21505613e-13 0.00000000e+00
8.23818733e+02 5.12816353e-13 0.00000000e+00
8.39165644e+02 5.04099843e-13 0.00000000e+00
8.54798453e+02 4.95362483e-13 0.00000000e+00
8.70722485e+02 4.86610615e-13 0.00000000e+00
8.86943166e+02 4.77850508e-13 0.00000000e+00
9.03466021e+02 4.69088353e-13 0.00000000e+00
9.20296681e+02 4.60330253e-13 0.00000000e+00
9.37440879e+02 4.51582213e-13 0.00000000e+00
9.54904456e+02 4.42850133e-13 0.00000000e+00
9.72693362e+02 4.34139798e-13 0.00000000e+00
9.90813657e+02 4.25456870e-13 0.00000000e+00
1.00927151e+03 4.16806886e-13 0.00000000e+00
1.02807322e+03 4.08195242e-13 0.00000000e+00
1.04722519e+03 3.99627195e-13 0.00000000e+00
1.06673394e+03 3.91107850e-13 0.00000000e+00
1.08660611e+03 3.82642160e-13 0.00000000e+00
1.10684849e+03 3.74234917e-13 0.00000000e+00
1.12746796e+03 3.65890748e-13 0.00000000e+00
1.14847155e+03 3.57614113e-13 0.00000000e+00
1.16986641e+03 3.49409297e-13 0.00000000e+00
1.19165984e+03 3.41280411e-13 0.00000000e+00
1.21385926e+03 3.33231385e-13 0.00000000e+00
1.23647224e+03 3.25265970e-13 0.00000000e+00
1.25950646e+03 3.17387731e-13 0.00000000e+00
1.28296980e+03 3.09600051e-13 0.00000000e+00
1.30687023e+03 3.01906126e-13 0.00000000e+00
1.33121590e+03 2.94308964e-13 0.00000000e+00
1.35601511e+03 2.86811388e-13 0.00000000e+00
1.38127630e+03 2.79416034e-13 0.00000000e+00
1.40700809e+03 2.72125353e-13 0.00000000e+00
1.43321923e+03 2.64941610e-13 0.00000000e+00
1.45991865e+03 2.57866886e-13 0.00000000e+00
1.48711546e+03 2.50903084e-13 0.00000000e+00
1.51481892e+03 2.44051923e-13 0.00000000e+00
1.54303847e+03 2.37314949e-13 0.00000000e+00
1.57178372e+03 2.30693531e-13 0.00000000e+00
1.60106446e+03 2.24188868e-13 0.00000000e+00
1.63089068e+03 2.17801991e-13 0.00000000e+00
1.66127252e+03 2.11533767e-13 0.00000000e+00
1.69222035e+03 2.05384904e-13 0.00000000e+00
1.72374471e+03 1.99355951e-13 0.00000000e+00
1.75585633e+03 1.93447308e-13 0.00000000e+00
1.78856616e+03 1.87659226e-13 0.00000000e+00
1.82188534e+03 1.81991813e-13 0.00000000e+00
1.85582523e+03 1.76445040e-13 0.00000000e+00
1.89039738e+03 1.71018743e-13 0.00000000e+00
1.92561357e+03 1.65712633e-13 0.00000000e+00
1.96148581e+03 1.60526295e-13 0.00000000e+00
1.99802631e+03 1.55459196e-13 0.00000000e+00
2.03524752e+03 1.50510694e-13 0.00000000e+00
2.07316213e+03 1.45680035e-13 0.00000000e+00
2.11178304e+03 1.40966366e-13 0.00000000e+00
2.15112343e+03 1.36368735e-13 0.00000000e+00
2.19119669e+03 1.31886100e-13 0.00000000e+00
2.23201647e+03 1.27517332e-13 0.00000000e+00
2.27359668e+03 1.23261221e-13 0.00000000e+00
2.31595149e+03 1.19116481e-13 0.00000000e+00
2.35909533e+03 1.15081754e-13 0.00000000e+00
2.40304289e+03 1.11155619e-13 0.00000000e+00
2.44780916e+03 1.07336591e-13 0.00000000e+00
2.49340937e+03 1.03623130e-13 0.00000000e+00
2.53985907e+03 1.00013646e-13 0.00000000e+00
2.58717408e+03 9.65065003e-14 0.00000000e+00
