# BON2020_LIS spectra tabulated for shieldSim
# Source model: Badhwar-O'Neill 2020 LIS parameters (Z=1 and Z=2)
# Energy column: total kinetic energy [MeV]
# Flux columns: differential flux [particles / (m^2 sr s MeV)]
# NOTE:
#   proton flux is tabulated directly versus total kinetic energy (same as MeV/n for A=1)
#   alpha flux is converted from BON2020's MeV/n representation to total kinetic energy:
#       E_total = 4*T_n,  flux_per_MeV(total) = flux_per_MeV_per_nucleon / 4
# Columns:
#   E_MeV_total   proton_flux   alpha_flux
6.39162405e+03 0.00000000e+00 5.28000913e-15
6.51069356e+03 0.00000000e+00 5.09243114e-15
6.63198120e+03 0.00000000e+00 4.91080508e-15
6.75552832e+03 0.00000000e+00 4.73497127e-15
6.88137699e+03 0.00000000e+00 4.56477327e-15
7.00957009e+03 0.00000000e+00 4.40005787e-15
7.14015130e+03 0.00000000e+00 4.24067498e-15
7.27316511e+03 0.00000000e+00 4.08647768e-15
7.40865683e+03 0.00000000e+00 3.93732212e-15
7.54667263e+03 0.00000000e+00 3.79306752e-15
7.68725952e+03 0.00000000e+00 3.65357612e-15
7.83046540e+03 0.00000000e+00 3.51871314e-15
7.97633907e+03 0.00000000e+00 3.38834675e-15
8.12493021e+03 0.00000000e+00 3.26234804e-15
8.27628946e+03 0.00000000e+00 3.14059096e-15
8.43046837e+03 0.00000000e+00 3.02295231e-15
8.58751948e+03 0.00000000e+00 2.90931168e-15
8.74749630e+03 0.00000000e+00 2.79955144e-15
8.91045332e+03 0.00000000e+00 2.69355667e-15
9.07644607e+03 0.00000000e+00 2.59121515e-15
9.24553110e+03 0.00000000e+00 2.49241731e-15
9.41776601e+03 0.00000000e+00 2.39705617e-15
9.59320948e+03 0.00000000e+00 2.30502736e-15
9.77192128e+03 0.00000000e+00 2.21622903e-15
9.95396231e+03 0.00000000e+00 2.13056181e-15
1.01393946e+04 0.00000000e+00 2.04792881e-15
1.03282813e+04 0.00000000e+00 1.96823556e-15
1.05206867e+04 0.00000000e+00 1.89138998e-15
1.07166765e+04 0.00000000e+00 1.81730231e-15
1.09163173e+04 0.00000000e+00 1.74588511e-15
1.11196773e+04 0.00000000e+00 1.67705320e-15
1.13268257e+04 0.00000000e+00 1.61072363e-15
1.15378330e+04 0.00000000e+00 1.54681565e-15
1.17527712e+04 0.00000000e+00 1.48525063e-15
1.19717134e+04 0.00000000e+00 1.42595209e-15
1.21947344e+04 0.00000000e+00 1.36884559e-15
1.24219100e+04 0.00000000e+00 1.31385873e-15
1.26533176e+04 0.00000000e+00 1.26092112e-15
1.28890361e+04 0.00000000e+00 1.20996431e-15
1.31291459e+04 0.00000000e+00 1.16092178e-15
1.33737286e+04 0.00000000e+00 1.11372887e-15
1.36228676e+04 0.00000000e+00 1.06832280e-15
1.38766479e+04 0.00000000e+00 1.02464255e-15
1.41351558e+04 0.00000000e+00 9.82628891e-16
1.43984795e+04 0.00000000e+00 9.42224327e-16
1.46667087e+04 0.00000000e+00 9.03373044e-16
1.49399346e+04 0.00000000e+00 8.66020885e-16
1.52182505e+04 0.00000000e+00 8.30115314e-16
1.55017512e+04 0.00000000e+00 7.95605376e-16
1.57905331e+04 0.00000000e+00 7.62441664e-16
