model,a,H_saved,H_analytic,H_reconstructed_interpolation,relative_background_residual,relative_interpolation_residual,nominal_variant_max_relative
5_Kmimic_1,0.20800000277,401.13088022,401.129442265833246743819564679744432130589622430934997181408,401.130880220242759314971039277331037818479001802111234158861,0.00000358475060799261090713571055910233858678507766819174206931617,6.05187301555420405764050285982155151983191180435204820912551E-13,0
5_Kmimic_1,0.30700001165,228.95856270,228.958008756085685811156206807362101650020500560504002964112,228.958562696455813979615592791014878932662613117831508638434,0.00000241940684716828388700045171055028630951236966337330998627902,1.54795958648128219097399193593792894742367779615957555973948E-11,0
5_Kmimic_1,0.40600000577,156.96729696,156.964698248041818618611910329657815180054029950668337494405,156.967296961269647105260902537135182952125555839611340954901,0.0000165557540233594743561396060507457434780180936082707045616695,8.08860909144773781556898967011023839506362792711872261706974E-12,0
5_Kmimic_1,0.50499999989,120.31439745,120.313597634344883664945760951586609280346086732055969277972,120.314397450079455576968190839593522261479609871988609378082,0.00000664771359095839493180330442149190727558489671038719088893214,6.60399575214249366331710495996058877124680421143660580827004E-13,0
5_Kmimic_1,0.60400002351,99.541794815,99.5385852913699361415598057149247014458411227640637632630610,99.5417948155941311957562856936371450430246109852103291278274,0.0000322429752851936100605288756998645258843501187098495551574308,5.96866067019327660428321359718392966166925523945081486538758E-12,0
5_Kmimic_1,0.70299998813,86.938755656,86.9385492298010600101171416814809973275595836714778811427499,86.9387556561602189604579632573498556136206448814396463513545,0.00000237438639859050667775201218831984015504378203265202310155319,1.84289456697107239188182981201663264667664305112818812518162E-12,0
5_Kmimic_1,0.80200001176,78.923667204,78.9193330133621180129164143491305087671935642907874104383223,78.9236672034762999828754646745996567045420634846720176155584,0.0000549162347801081669006026395323001697557524105211187150160139,6.63552563733370492509258966311142415687871999711241395548774E-12,0
5_Kmimic_1,0.90099997637,73.618608768,73.6181204680553255662547207110607606839617082090982777737045,73.6186087686229430469632747707255868907902297002486760953495,0.00000663283309541003448481914321034451035459957283340313035321716,8.46176065240694845403170548728628893112364812905313003915106E-12,0
5_Kmimic_1,1.0000000000,70.000000000,70.000000000000000000000000000000,7E+1,0E-21,0,0
5_Kmimic_2,0.0000099999997474,6575939901.3,6575939901.24608954187036102925303665902923149480766095609034,6575939901.30665907211909367571381081407320782886678180481807,8.19813729121541884353038209399982631686449410794282923109962E-12,1.01264187614769685159907351448694094200314220210565238576010E-12,0
5_Kmimic_2,0.000021544346486,1443086394.9,1443086394.87648021805866481287397050119870053727721251072603,1443086394.88654460073436801442837420322250964642730323002828,1.62982493802562749987363897926382305766601814104387132975804E-11,9.32404276915408785940442988060378502893248361239886012593161E-12,0
5_Kmimic_2,0.000046415887724,322792020.04,322792020.045747938567811893101509654296238964718780464878229,322792020.047275470372797089157986258024830515827722712372384,1.78069413456914524799786936653835051839407841804364287381969E-11,2.25391890782539741611034576896973389722865398521095997506482E-11,0
5_Kmimic_2,0.00010000000443,74764000.715,74764000.7183464428210144690863013040842803124903812275970635,74764000.7194846927628460017897679101756893168481617671071499,4.47600822436095343511361442187231913231516523303645975741762E-11,5.99846546424477151284173100380526511568162274804563056296716E-11,0
5_Kmimic_2,0.00021544346877,18297149.519,18297149.5187185234042685432127224011931930905343938823567308,18297149.5187253098422750549194413762217041026639217297976145,1.53836309551478386909277793067866477659359637257386288072339E-11,1.50127295751561312121681732591572279689949995202583336336128E-11,0
5_Kmimic_2,0.00046415895732,4803440.6309,4803440.63067982696172345654768103555603314240029895706474306,4803440.63092891587004809032141936806095871137986731968264591,4.58365274383105215197559284914232954845039834125911565453590E-11,6.01982459445916183181161461895856556388257053829432196872731E-12,0
5_Kmimic_2,0.0010000001139,1350675.2430,1350675.24303195706188788222440045206620401976181488578551620,1350675.24308076308759184589365698240130280375692909474435993,2.36600634036542552442343609476951990701130706163889248376593E-11,5.97946012600578161614359678113281696223019510200491616623408E-11,0
5_Kmimic_2,0.0021544348376,400017.99692,400017.996913549964190356777688593364989806619884482405325882,400017.996922093115517584641701415016782200602465738990492100,1.61243640518833242284279048286610277232363545182616080182536E-11,5.23255336932326480377571022197831352079930275453285128700225E-12,0
5_Kmimic_2,0.0046415889407,122314.73312,122314.733118570484957027729675227754542208600275054041117909,122314.733119442000114551992511702126029790452525773508449147,1.16871860528020610439136398435482252470777322666572973510977E-11,4.56200059644954967709350278317107670296727334144552479239387E-12,0
5_Kmimic_2,0.0099999997765,38049.896533,38049.8965322165975758101589423399278240146845892414007260245,38049.8965324819679570084872683142401346122210500826644148043,2.05888187766925998873404656883384700676762619247120253397931E-11,1.36145453783884204310238266000012029498502285768541435313448E-11,0
5_Kmimic_2,0.10900000127,1045.0426541,1045.04157244180237465567920328996859939431758540276871796455,1045.04265418993697070939562066756385367126643604843149117856,0.00000103503736750044710045554305322646799552733895561099418477794,8.60605740338035388343790392292162446653085692115412535023009E-11,0
5_Kmimic_2,0.20800000277,399.94277576,399.941415576751700621892936809491820065344964254903977697780,399.942775760838613696700163846794973971149521015725661001943,0.00000340094466193234810653750639003649909317153131522863094708047,2.09683421610707033940108950012859970628434821676729330715191E-12,0
5_Kmimic_2,0.30700001165,228.32429811,228.323755783806577134380245722310767744849356146072755811399,228.324298106759579284137135833930826225563123293254255815496,0.00000237524520128641169680842466702045192435718871920016958461417,1.41921851624469849380638648947027598802841412773017458680495E-11,0
5_Kmimic_2,0.40600000577,156.58299356,156.580414378048716925657705635945716924739936110023171946144,156.582993558500580133976763583719747781967132214984587941216,0.0000164716607636880738039605790653468412337070277226858112955852,9.57587942300185780328781841711053173848525353728714343274304E-12,0
5_Kmimic_2,0.50499999989,120.07119931,120.070401108009198906279676629701934977626822712893019313963,120.071199312535321291505194923801254065783536911777695283197,0.00000664773896977821167332662913888090132359057809248333422847028,2.11151492283004934065519024497087567088798052025443756732172E-11,0
5_Kmimic_2,0.60400002351,99.388078042,99.3848702163112406055377073838461261144396688965871374972961,99.3880780428432780947423825746668289864627588830346218777335,0.0000322757593461442384443188260387980826704545382264401178820413,8.48470069396925236127869003480239837446635350484799441428657E-12,0
5_Kmimic_2,0.70299998813,86.845351399,86.8451451442483837112568195176701135761322757976563748442825,86.8453513994413856061011264597752269323422093187738173605157,0.00000237496593995776852968597808467281814474729803177355806671045,5.08243215081245649183572974710294102063844462506214496553564E-12,0
5_Kmimic_2,0.80200001176,78.872253775,78.8679288583156226956264937927568015784773197296045023510260,78.8722537745264135880660986596515235029756189426708075599799,0.0000548344503596290744324708786755906484514588146178234270192186,6.00447418790526808866349650630838788059207377480700119628349E-12,0
5_Kmimic_2,0.90099997637,73.597052210,73.5965658282905528334276772633161607908769585532480344082971,73.5970522105111616211514961299919818106330600488852826942774,0.00000660871182801366946654148723056864838311771769759026470796744,6.94540889612548659333156576866686471228446197303648471645381E-12,0
5_Kmimic_2,1.0000000000,70.000000000,70.000000000000000000000000000000,7E+1,0E-21,0,0
5_Kmimic_3,0.0000099999997474,6571896938.8,6571896938.75461616405365529438354734857020480067073014664729,6571896938.76156799156835344118369769831599712747859334745104,6.90574370976541790811636691909761439931938291045283182613990E-12,5.84793230775528223447896009844877826698621151374042299216100E-12,0
