model,a,A,eps2,cs2,rho_plus_p_scaled,udot,vdot,w_phi,H_km_s_Mpc
5_Kmimic_1,1.12201845430196343559103894647790573672230850736055296244507E-9,0.990000000000226473553847293723093345987220059218518033564474,2.74513398541115652587910304689548457368119529961985650311426E-13,0.333330119793950455925166952477652097179562185363634616073191,1400977391886541367851266880494.43789441341630921043668192727,-4202932175658470393639046932855.766051680006715358505136688,-1400963885598086756756276803233.36294102185235924173883887097,0.333329048629274069820308257189889751232918104734923805375412,513784777474260166.340750831337613318701506846487572155711019
5_Kmimic_1,1.13501081567231506397172328589875266311470988837216885622170E-9,0.990000000000229624114813304055490090257078709760301476513665,2.78332260316515908968546060362835483736391470390258311661218E-13,0.333330082583314077250243593753866264946264617977119653783008,1337923171791801504748154079613.31516851352572183627045121914,-4013769515374287402931716340516.872017441365946384818056056,-1337910124030099741866505922186.04593558631695881340522052423,0.333328999015431714970696944442391548383804152743255353833597,502089619136663561.995377764174435435406594857616984652328968
5_Kmimic_1,1.14815362149688275154622461166283601825621023739961193408750E-9,0.990000000000232818504448181115994538070798845190370002590120,2.82204247751107978453724349473589398829582499744066935179069E-13,0.333330044941807748828919786187538196374666272291040866233193,1277706854013437542723375831615.25675100586855662540367184536,-3833120562039230954464041056775.895611953800051281741767434,-1277694249211904231301672671465.20040020400658816504730156033,0.333328948827103825207035133087073071682814663610868411850636,490660674977952125.017747520508900896047843392578880636261280
5_Kmimic_1,1.16144861384034274856970007983089990442410325565622514534175E-9,0.990000000000236057332469443363705701349230901364525555288566,2.86130099896428346034312600131607660574258905214248484415412E-13,0.333330006864442435064178400152937482599106365252826583368730,1220200712079205488618869299134.42867504936330911628732538934,-3660602136236569105591283296207.171564089203536329801563723,-1220188535199728221835630217055.62562424824874232691219144853,0.333328898057638530700846422184461921675536720087532056935740,479491885225038523.420466579902355109463536923809085741497363
5_Kmimic_1,1.17489755493952954172206776512684422781343179717931247919539E-9,0.990000000000239341217076624835332229904031690464151196587820,2.90110566085244473152587862781496387517135799344943520277887E-13,0.333329968346171334724390466521174148227614576271012247340034,1165282768149229657773522040018.07655775749228472138490733445,-3495848304446674837991243444528.173043597992643393474030758,-1165271004664226854998329106321.83073967795189912043865121743,0.333328846700306944880907223898666525103440343901438507034959,468577328042094728.598427658500389466065588724960398543156192
5_Kmimic_1,1.18850222743701843773012246489217727120216156195122231155708E-9,0.990000000000242670785069271735407037708357612628310288088089,2.94146406074580966974059276580547562301164604817214470300309E-13,0.333329929381889212156845573207809315789373297085821144396863,1112836534285124261646574437883.12566452754530246666559575304,-3338509602854390820571528823322.777164810372551102098808814,-1112825170160213091571486155627.20214854699033354661863996119,0.333328794748302272813054850527787917890746151532696736668841,457911216390716849.193635014933006608801134555806924617853619
5_Kmimic_1,1.20226443461741290583261271519352044869426643548811891511049E-9,0.990000000000246046671966580522576064985740632229317232029784,2.98238390190735441852782419613080488708943489388807519436737E-13,0.333329889966431720759605098300908086111012944265937438635610,1062750765363916013722913507666.16679203760229757677858424666,-3188252296090797227221320908735.165075619775062405391391845,-1062739787041168726397981816196.94963269120892314988010241778,0.333328742194738909259967775877249203040546579478476743796543,447487894961561336.914482821074479838157216322915137493667485
5_Kmimic_1,1.21618600064636799871958514449532993364719306301749290118345E-9,0.990000000000249469522128700327446044662339674582196960844855,3.02387299476311752365312699799917762962239488750988148998346E-13,0.333329850094574718622092070118484919494026820204639044222769,1014919223112665602235482974250.53207159751603894570846204324,-3044757669337076155013352993223.738962079259176073552398992,-1014908617494434294039188527060.26717058774801531110329803143,0.333328689032651526301521132812779447227630194885931242004386,437301837175825677.286512992735420516258455857027535903780828
5_Kmimic_1,1.23026877081238153424154043647509073899556395745721444130973E-9,0.990000000000252939988879722855149374985126301978870658557101,3.06593925839298662346897924669217249359412610952865764582440E-13,0.333329809761033576243795438071075521275529570591653485901394,969240450763274352975154987902.987338242185426116896467016469,-2907721352288931612667170493337.998191833093457396195542655,-969230205196564866717300532392.234563972934093789350617324510,0.333328635254994150394940361239267338993833784587980438207994,427347642254983710.781228676979800703760936852870155652842702
5_Kmimic_1,1.24451461177138508704763727703779402531619095971503166366522E-9,0.990000000000256458734632383247876708117752712349544209965181,3.10859072204222404778659541410733212556593623291777309922703E-13,0.333329768960462476239418566819685134162548485367110998601984,925617557849489224209546882656.268700858824339208768503488311,-2776852673547604505338159088149.134982849973469668907871008,-925607660110865541707705344835.864667989387122811617137564741,0.333328580854639228752579847739034884252227753658475081314391,417620032357221919.277170822560646543828798497671997819103915
5_Kmimic_1,1.25892541179416721042395410639580060609361740946693106910792E-9,0.990000000000260026431014495709201125519167774375581698512064,3.15183552665401983220876825682594733638356620887679322888823E-13,0.333329727687453704937741692107027704024626566423036231942360,883958014689632220880848829562.238961720740577438000177186492,-2651874044068060877242572101126.571766175537645100220199981,-883948452970633338253467602743.322017155283915056367225299779,0.333328525824376684913741216562357280763667693154777316620685,408113849779058378.541333775852343574794754089525192138002714
5_Kmimic_1,1.27350308101666168401186374881505832671725996825827161755282E-9,0.990000000000263643758997148023134118367114153660443690582943,3.19568192642336466840624243538205657278542341662967413378175E-13,0.333329685936536935780395760407433310254767315022721450110613,844173456119125018619063899597.240704765121807047813841749425,-2532520368356565783727794452805.231699147824560043774037946,-844164219012176905953861115527.552002518559033623638630944397,0.333328470156912963385517456398387389512229486991745397555761,398824054220660638.130481752894580430615953041600671452862460
5_Kmimic_1,1.28824955169313396284265311260814490958991457878434570950733E-9,0.990000000000267311409024679436576225834066501906317359060266,3.24013829037253938018526125285555010849219782662769582935443E-13,0.333329643702178504425660375198061024007819720993406538532736,806179494056499627741525944367.908222838403368241182925169700,-2418538482168715283300471151740.716977492035032464616667201,-806170570541305465456325081722.277403634476289901636110380479,0.333328413844870063226204111056682713201314710568810081940316,389745720113412564.125577923310987950052352498901977378607328
5_Kmimic_1,1.30316677845229938727796539786341101107204439463467605615360E-9,0.990000000000271030081146466714218185489741907129698573315824,3.28521310394852164116957189449695131724730081857977566364694E-13,0.333329600978780675461301347596375984229537007760502916967224,769895538505322920027457705290.495944681435642678633975374522,-2309686615515210017978818291865.665742406760021242048756836,-769886917935715374846776592126.814627935966371388358992326274,0.333328356880784560443357135411714279253335236916949810674566,380874034008313185.335780683909627765256647501894950590847106
5_Kmimic_1,1.31825673855640710204737474230415518769241439642754807731864E-9,0.990000000000274800485150543520076789763990575079791034920702,3.33091497064261483329385387773264050633014131496366430169906E-13,0.333329557760680900629353454098482279943265699992627124904394,735244626612356530312506246055.236667842905619401691182702246,-2205733879836334918103957601760.523326936770256519121482902,-735236298703596385017804801643.406459568956635062523449512674,0.333328299257106619077098529097269477638020364277135975214595,372204292023822837.541103629988375455290530096124515743552772
5_Kmimic_1,1.33352143216332402567593171529533109241566796476437099332955E-9,0.990000000000278623340699078629779195368946573002385942522495,3.37725261363260818687573620669559318598067992255622460067335E-13,0.333329514042151068464631293300596588724243846897263985796667,702153259419361985738627682164.796840110669967576315535182179,-2106459778257374590116419284198.814587018899854283981966422,-702145214235867969370773892329.099929052026989733778589704907,0.333328240966198990837775315691257858803577297447060820067127,363731897351803420.086338662156086389277900644858373285109549
5_Kmimic_1,1.34896288259165360924794771816485410263680836305412449840700E-9,0.990000000000282499377465738832506990376072208974678721433056,3.42423487744778164360988513670956466628259786467086748910745E-13,0.333329469817396745247615459232262528602839613622785846486113,670551245962280154463910340377.041371746948073090198050249742,-2011653737886151662711608447313.0669609647581678330848007097,-670543473905775334098467657678.562622948771131429474910902326,0.333328182000336003165564638500773361725050934182748731534579,355452357820230381.405390708820716933091018756799991653295799
5_Kmimic_1,1.36458313658892452571132569705866516169914073254322692690356E-9,0.990000000000286429335274962741244606961035323364418965646261,3.47187072965707324423093323574703401248498043331911718847929E-13,0.333329425080556407171212462026320449569647552741552909738492,640371554387098858061958559791.655216922525864310920014416008,-1921114663160629624063128780316.5744314487142645552459675436,-640364046185159450255083237730.758169940309920673540263208724,0.333328122351702535578087497304211692904202386247728182512533,347361283511384151.176537035693973601281836161241767942188100
