model,a,function,first_analytic_vs_stencil,first_source_vs_analytic,second_source_vs_stencil
5_Kmimic_1,0.001,v,8.52459403959130846141240464335368441141521848837653321328723E-24,4.81374608994387207038878321757339936399549857355145552158165E-58,2.84307501294938166123185206831950369966925075642418063186974E-24
5_Kmimic_1,0.00316227766016837933199889354443271853371955513932521682685750,u,2.90826390025366255783045193821724130203080234223163000523097E-24,7.46440751505846949241602176345842562004349456798341416493357E-59,9.91203573868939387840653636893310738775912561524193114921522E-25
5_Kmimic_1,0.00316227766016837933199889354443271853371955513932521682685750,v,8.43053005574996577034349011227555726482477821949557050708985E-24,6.22547196979617776756713499577507004361140425574860641107101E-58,2.82868102611860967519983364280882105644017071400106696657857E-24
5_Kmimic_1,0.01,u,2.77156710917466291773194060632908097877785372944081635324823E-24,2.76861573936986836092445649985772312229873650883846758625614E-59,9.30616245313905746123823777472086385430849878246678092751911E-25
5_Kmimic_1,0.01,v,7.42361942575703870107051664267293273121555140055125723070373E-24,2.10144476703541119928892589965430412544339774599038326759439E-58,2.66345458801422054244126121910707164428836326459698747505879E-24
5_Kmimic_1,0.0316227766016837933199889354443271853371955513932521682685750,u,2.73879605130008863388785330675744998254376784903174103660737E-24,3.88200587251173776606390612944707639190561065529601982547349E-59,9.12991665257085854316350458409274185909107743239437675352794E-25
5_Kmimic_1,0.0316227766016837933199889354443271853371955513932521682685750,v,3.12764714435833881926257429498145253080540715587895675565356E-24,5.49134583048904022766218327317005193432620730632985068133643E-59,1.56523058251054151998962969459863209784394173335357151664932E-24
5_Kmimic_1,0.1,u,2.77626666627756566046426531859604710120063838678567542792622E-24,3.59382375694538147620481874870536732906075713487812556881966E-60,9.16909070563639102230272436378766475435770165323163290082013E-25
5_Kmimic_1,0.1,v,6.90022226530991730142031706588504226320833824371190049496409E-25,1.80291074081789852039588133607107445207499276619202259186174E-59,3.46213757825894793687105933338194239730977459078480035363881E-25
5_Kmimic_1,0.316227766016837933199889354443271853371955513932521682685750,u,2.99105879308223167300344714636088690228449877614705796377143E-24,1.05532280890593354571587990479093558285117712651670482859722E-58,9.58079097595258468609592636504892904651924724000900881005375E-25
