check,file,files,values,values_failing,bulk_values,bulk_failing,near_zero_values,near_zero_failing,rtol,atol,max_relative_error_above_atol,max_absolute_error_below_atol,bulk_margin,near_zero_margin,review_flags
designer-mc5e,4_Des_mc5e_taylor_1_scalCls.dat,1,20994,0,9504,0,11490,0,0.0001,100.0,4.100595816661655e-06,0.00010000000000331966,24.386699999467695,999999.9999668035,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_taylor_1_scalarCovCls.dat,1,90974,0,17428,0,73546,0,0.0001,0.1,7.685154586866604e-06,1.0000000000287557e-07,13.012100000030326,999999.9999712444,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_taylor_1_tensCls.dat,1,17495,0,6794,0,10701,0,0.0001,0.01,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
designer-mc5e,4_Des_mc5e_taylor_1_totCls.dat,1,17495,0,13947,0,3548,0,0.0001,0.1,6.478362270024618e-06,1.9999999999187335e-07,15.435999999984563,500000.0000203167,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_taylor_1_transfer_out.dat,1,3302,0,1989,0,1313,0,0.0001,1000.0,0.0,1.0000000000276037e-12,,999999999972396.2,bulk: no measured spread; near-zero: above 10000
designer-mc5e,4_Des_mc5e_taylor_2_lensedCls.dat,1,16995,0,13547,0,3448,0,0.0001,0.1,8.485506754518967e-06,2.0000000000575113e-07,11.784799999922797,499999.9999856222,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_taylor_2_lensedtotCls.dat,1,16995,0,13555,0,3440,0,0.0001,0.1,7.14622607805502e-06,1.9999999999187335e-07,13.993399999908327,500000.0000203167,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_taylor_2_lenspotentialCls.dat,1,27992,0,13944,0,14048,0,0.0001,0.1,5.585468844241769e-06,2.0000000000575113e-07,17.903600000041727,499999.9999856222,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_taylor_2_matterpower.dat,1,1310,0,724,0,586,0,0.0001,1.0,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
designer-mc5e,4_Des_mc5e_taylor_2_scalCls.dat,1,20994,0,9514,0,11480,0,0.0001,100.0,8.755647392560243e-06,0.00010000000000331966,11.421200000010389,999999.9999668035,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_taylor_2_scalarCovCls.dat,1,90974,0,17418,0,73556,0,0.0001,0.1,9.763432041695237e-06,1.9999999999881224e-07,10.2422999999329,500000.0000029694,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_taylor_2_tensCls.dat,1,17495,0,6804,0,10691,0,0.0001,0.01,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
designer-mc5e,4_Des_mc5e_taylor_2_totCls.dat,1,17495,0,13944,0,3551,0,0.0001,0.1,5.585468844241769e-06,2.0000000000575113e-07,17.903600000041727,499999.9999856222,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_taylor_2_transfer_out.dat,1,3289,0,1987,0,1302,0,0.0001,1000.0,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
designer-mc5e,4_Des_mc5e_turning_point_1_lensedCls.dat,1,16995,0,13549,0,3446,0,0.0001,0.1,7.981546664120554e-06,1.0000000000287557e-07,12.528899999987472,999999.9999712444,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_turning_point_1_lensedtotCls.dat,1,16995,0,13557,0,3438,0,0.0001,0.1,8.347524124353068e-06,1.0000000000287557e-07,11.97959999998802,999999.9999712444,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_turning_point_1_lenspotentialCls.dat,1,27992,0,13945,0,14047,0,0.0001,0.1,9.493971328184462e-06,1.0000000000287557e-07,10.533000000024549,999999.9999712444,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_turning_point_1_matterpower.dat,1,1312,0,724,0,588,0,0.0001,1.0,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
designer-mc5e,4_Des_mc5e_turning_point_1_scalCls.dat,1,20994,0,9485,0,11509,0,0.0001,100.0,4.4885116544419424e-06,0.00010000000000331966,22.279099999893624,999999.9999668035,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_turning_point_1_scalarCovCls.dat,1,90974,0,17422,0,73552,0,0.0001,0.1,9.857752629620094e-06,9.999999999940612e-08,10.144299999933542,1000000.0000059388,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_turning_point_1_tensCls.dat,1,17495,0,6770,0,10725,0,0.0001,0.01,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
designer-mc5e,4_Des_mc5e_turning_point_1_totCls.dat,1,17495,0,13945,0,3550,0,0.0001,0.1,9.493971328184462e-06,1.0000000000287557e-07,10.533000000024549,999999.9999712444,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_turning_point_1_transfer_out.dat,1,3315,0,1996,0,1319,0,0.0001,1000.0,0.0,9.99999999987899e-14,,1.000000000012101e+16,bulk: no measured spread; near-zero: above 10000
designer-mc5e,4_Des_mc5e_turning_point_2_lensedCls.dat,1,16995,0,13550,0,3445,0,0.0001,0.1,1.7045067157581647e-05,1.1200000000002874e-06,5.866799999994133,89285.71428569137,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_turning_point_2_lensedtotCls.dat,1,16995,0,13558,0,3437,0,0.0001,0.1,1.4528020920364654e-05,1.1100000000003468e-06,6.883249999993117,90090.09009006195,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_turning_point_2_lenspotentialCls.dat,1,27992,0,13945,0,14047,0,0.0001,0.1,9.999700008976425e-06,2.1000000000048757e-06,10.000300000023307,47619.04761893706,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_turning_point_2_matterpower.dat,1,1314,0,722,0,592,0,0.0001,1.0,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
designer-mc5e,4_Des_mc5e_turning_point_2_scalCls.dat,1,20994,0,9425,0,11569,0,0.0001,100.0,9.881032370168809e-06,0.00010000000000331966,10.120400000095495,999999.9999668035,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_turning_point_2_scalarCovCls.dat,1,90974,0,17421,0,73553,0,0.0001,0.1,2.7988468750773156e-05,1.6000000000043757e-06,3.572900000012955,62499.99999982908,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_turning_point_2_tensCls.dat,1,17495,0,6674,0,10821,0,0.0001,0.01,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
designer-mc5e,4_Des_mc5e_turning_point_2_totCls.dat,1,17495,0,13945,0,3550,0,0.0001,0.1,9.999700008976425e-06,2.1000000000048757e-06,10.000300000023307,47619.04761893706,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_turning_point_2_transfer_out.dat,1,3354,0,2008,0,1346,0,0.0001,1000.0,0.0,1.0000000000287557e-06,,999999999.9712443,bulk: no measured spread; near-zero: above 10000
designer-mc5e,4_Des_mc5e_wCDM_1_lensedCls.dat,1,16995,0,13549,0,3446,0,0.0001,0.1,9.664823906885892e-06,1.0000000000287557e-07,10.346800000024114,999999.9999712444,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_wCDM_1_lensedtotCls.dat,1,16995,0,13557,0,3438,0,0.0001,0.1,8.131932472413797e-06,1.0000000000287557e-07,12.29720000002866,999999.9999712444,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_wCDM_1_lenspotentialCls.dat,1,27992,0,13947,0,14045,0,0.0001,0.1,9.632704959925779e-06,3.000000000016878e-07,10.38129999995043,333333.33333145804,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_wCDM_1_matterpower.dat,1,1312,0,724,0,588,0,0.0001,1.0,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
designer-mc5e,4_Des_mc5e_wCDM_1_scalCls.dat,1,20994,0,9485,0,11509,0,0.0001,100.0,4.8207639947008945e-06,0.00010000000000331966,20.743599999900955,999999.9999668035,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_wCDM_1_scalarCovCls.dat,1,90974,0,17426,0,73548,0,0.0001,0.1,9.901382232936644e-06,3.000000000016878e-07,10.099600000023539,333333.33333145804,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_wCDM_1_tensCls.dat,1,17495,0,6768,0,10727,0,0.0001,0.01,0.0,9.999999999940612e-09,,1000000.0000059388,bulk: no measured spread; near-zero: above 10000
designer-mc5e,4_Des_mc5e_wCDM_1_totCls.dat,1,17495,0,13947,0,3548,0,0.0001,0.1,9.632704959925779e-06,3.000000000016878e-07,10.38129999995043,333333.33333145804,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_wCDM_1_transfer_out.dat,1,3315,0,1996,0,1319,0,0.0001,1000.0,0.0,1.0000000000540735e-13,,9999999999459266.0,bulk: no measured spread; near-zero: above 10000
designer-mc5e,4_Des_mc5e_wCDM_2_lensedCls.dat,1,16995,0,13547,0,3448,0,0.0001,0.1,9.441444163277215e-06,5.000000000005e-07,10.591600000024684,199999.9999998,bulk: below 50; near-zero: above 10000
