check,file_type,files,values,values_failing,bulk_values,bulk_failing,near_zero_values,near_zero_failing,rtol,atol,max_relative_error_above_atol,max_absolute_error_below_atol,bulk_margin,near_zero_margin,review_flags
pure-eft-gamma,lenspotentialCls,21,587832,0,292892,0,294940,0,0.0001,0.1,9.822121381822935e-06,1.0000000000287557e-07,10.181099999951387,999999.9999712444,bulk: below 50; near-zero: above 10000
pure-eft-gamma,matterpower,21,27468,0,15148,0,12320,0,0.0001,1.0,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
pure-eft-gamma,scalCls,21,440874,0,200777,0,240097,0,0.0001,100.0,9.597757963785498e-06,0.00010000000000331966,10.419099999950252,999999.9999668035,bulk: below 50; near-zero: above 10000
pure-eft-gamma,scalarCovCls,21,1910454,0,366595,0,1543859,0,0.0001,0.1,9.922603691185448e-06,1.0000000000287557e-07,10.078000000023488,999999.9999712444,bulk: below 50; near-zero: above 10000
pure-eft-gamma,tensCls,21,367395,0,143592,0,223803,0,0.0001,0.01,0.0,9.999999999940612e-09,,1000000.0000059388,bulk: no measured spread; near-zero: above 10000
pure-eft-gamma,totCls,21,367395,0,292892,0,74503,0,0.0001,0.1,9.822121381822935e-06,1.0000000000287557e-07,10.181099999951387,999999.9999712444,bulk: below 50; near-zero: above 10000
pure-eft-gamma,transfer_out,21,68796,0,41310,0,27486,0,0.0001,1000.0,0.0,6.974100000000001e-05,,14338767.7263016,bulk: no measured spread; near-zero: above 10000
pure-eft-omega,lensedCls,7,118965,0,94812,0,24153,0,0.0001,0.1,9.146620323769043e-06,2.0000000000054696e-07,10.93300000002548,499999.99999863264,bulk: below 50; near-zero: above 10000
pure-eft-omega,lensedtotCls,7,118965,0,94867,0,24098,0,0.0001,0.1,9.746968692886984e-06,1.9999999999881224e-07,10.259599999841665,500000.0000029694,bulk: below 50; near-zero: above 10000
pure-eft-omega,lenspotentialCls,7,195944,0,97631,0,98313,0,0.0001,0.1,9.803729338650223e-06,1.0000000000287557e-07,10.200199999989799,999999.9999712444,bulk: below 50; near-zero: above 10000
pure-eft-omega,matterpower,7,9156,0,5014,0,4142,0,0.0001,1.0,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
pure-eft-omega,scalCls,7,146958,0,66863,0,80095,0,0.0001,100.0,9.88366921340596e-06,0.00010000000000331966,10.117699999951691,999999.9999668035,bulk: below 50; near-zero: above 10000
pure-eft-omega,scalarCovCls,7,636818,0,122172,0,514646,0,0.0001,0.1,9.43556452980383e-06,1.0000000000287557e-07,10.5982000000247,999999.9999712444,bulk: below 50; near-zero: above 10000
pure-eft-omega,tensCls,7,122465,0,47824,0,74641,0,0.0001,0.01,1.4256569784180563e-06,9.999999999940612e-09,70.143099997983,1000000.0000059388,near-zero: above 10000
pure-eft-omega,totCls,7,122465,0,97631,0,24834,0,0.0001,0.1,9.803729338650223e-06,1.0000000000287557e-07,10.200199999989799,999999.9999712444,bulk: below 50; near-zero: above 10000
pure-eft-omega,transfer_out,7,22932,0,13778,0,9154,0,0.0001,1000.0,0.0,9.999999999976694e-05,,10000000.000023305,bulk: no measured spread; near-zero: above 10000
pure-eft-wde,lensedCls,2,33990,0,27096,0,6894,0,0.0001,0.1,9.664823906885892e-06,1.0000000000287557e-07,10.346800000024114,999999.9999712444,bulk: below 50; near-zero: above 10000
pure-eft-wde,lensedtotCls,2,33990,0,27113,0,6877,0,0.0001,0.1,9.840001574377319e-06,1.0000000000287557e-07,10.162600000023685,999999.9999712444,bulk: below 50; near-zero: above 10000
pure-eft-wde,lenspotentialCls,2,55984,0,27894,0,28090,0,0.0001,0.1,9.632704959925779e-06,3.000000000016878e-07,10.38129999995043,333333.33333145804,bulk: below 50; near-zero: above 10000
pure-eft-wde,matterpower,2,2620,0,1449,0,1171,0,0.0001,1.0,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
pure-eft-wde,scalCls,2,41988,0,19023,0,22965,0,0.0001,100.0,4.909903274901019e-06,0.00010000000000331966,20.367000000018525,999999.9999668035,bulk: below 50; near-zero: above 10000
pure-eft-wde,scalarCovCls,2,181948,0,34851,0,147097,0,0.0001,0.1,9.901382232936644e-06,3.000000000016878e-07,10.099600000023539,333333.33333145804,bulk: below 50; near-zero: above 10000
pure-eft-wde,tensCls,2,34990,0,13600,0,21390,0,0.0001,0.01,0.0,9.999999999940612e-09,,1000000.0000059388,bulk: no measured spread; near-zero: above 10000
pure-eft-wde,totCls,2,34990,0,27894,0,7096,0,0.0001,0.1,9.632704959925779e-06,3.000000000016878e-07,10.38129999995043,333333.33333145804,bulk: below 50; near-zero: above 10000
pure-eft-wde,transfer_out,2,6591,0,3976,0,2615,0,0.0001,1000.0,0.0,1.0000000000540735e-13,,9999999999459266.0,bulk: no measured spread; near-zero: above 10000
quintessence-galileon,lensedCls,6,101970,0,81294,0,20676,0,0.0001,0.1,9.821446109789537e-06,2.9999999999821836e-07,10.181799999933299,333333.33333531296,bulk: below 50; near-zero: above 10000
quintessence-galileon,lensedtotCls,6,101970,0,81341,0,20629,0,0.0001,0.1,9.375937593737525e-06,2.0000000000054696e-07,10.665600000024858,499999.99999863264,bulk: below 50; near-zero: above 10000
quintessence-galileon,lenspotentialCls,6,167952,0,83631,0,84321,0,0.0001,0.1,9.858141346040478e-06,2.999999999947489e-07,10.143899999989857,333333.3333391679,bulk: below 50; near-zero: above 10000
quintessence-galileon,matterpower,6,7902,0,4340,0,3562,0,0.0001,1.0,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
quintessence-galileon,scalCls,6,125964,0,56697,0,69267,0,0.0001,100.0,9.607809227385859e-06,0.00010000000000331966,10.408199999950302,999999.9999668035,bulk: below 50; near-zero: above 10000
quintessence-galileon,scalarCovCls,6,545844,0,104574,0,441270,0,0.0001,0.1,9.772305286826933e-06,2.0000000000228169e-07,10.232999999989767,499999.9999942958,bulk: below 50; near-zero: above 10000
quintessence-galileon,tensCls,6,104970,0,40557,0,64413,0,0.0001,0.01,1.0763185170028548e-06,9.999999999940612e-09,92.90930000764334,1000000.0000059388,near-zero: above 10000
quintessence-galileon,totCls,6,104970,0,83631,0,21339,0,0.0001,0.1,9.858141346040478e-06,2.999999999947489e-07,10.143899999989857,333333.3333391679,bulk: below 50; near-zero: above 10000
quintessence-galileon,transfer_out,6,20059,0,12006,0,8053,0,0.0001,1000.0,0.0,9.999999999940612e-09,,100000000000.59389,bulk: no measured spread; near-zero: above 10000
rph-alpha-basis,lensedCls,7,118965,0,94846,0,24119,0,0.0001,0.1,9.755812025060485e-06,1.0000000000287557e-07,10.250299999951057,999999.9999712444,bulk: below 50; near-zero: above 10000
rph-alpha-basis,lensedtotCls,7,118965,0,94909,0,24056,0,0.0001,0.1,9.946487895171725e-06,1.0000000000287557e-07,10.053799999951995,999999.9999712444,bulk: below 50; near-zero: above 10000
rph-alpha-basis,lenspotentialCls,7,195944,0,97652,0,98292,0,0.0001,0.1,9.990309399858831e-06,9.999999999940612e-08,10.00970000002333,1000000.0000059388,bulk: below 50; near-zero: above 10000
rph-alpha-basis,matterpower,7,9156,0,5066,0,4090,0,0.0001,1.0,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
rph-alpha-basis,scalCls,7,146958,0,66795,0,80163,0,0.0001,100.0,9.967009199455442e-06,0.00010000000000331966,10.033100000094674,999999.9999668035,bulk: below 50; near-zero: above 10000
rph-alpha-basis,scalarCovCls,7,636818,0,122084,0,514734,0,0.0001,0.1,9.967009199455442e-06,1.0000000000287557e-07,10.033100000094674,999999.9999712444,bulk: below 50; near-zero: above 10000
rph-alpha-basis,tensCls,7,122465,0,47824,0,74641,0,0.0001,0.01,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
rph-alpha-basis,totCls,7,122465,0,97645,0,24820,0,0.0001,0.1,9.990309399858831e-06,9.999999999940612e-08,10.00970000002333,1000000.0000059388,bulk: below 50; near-zero: above 10000
rph-alpha-basis,transfer_out,7,22932,0,13875,0,9057,0,0.0001,1000.0,0.0,0.0020000000000095497,,499999.99999761255,bulk: no measured spread; near-zero: above 10000
