model,arm,a,k,C_recorded,C_analytic,C_error_over_exact_AH2,restoring_recorded_over_A,restoring_analytic_over_A,A1_relative_error,D1_relative_error,adotoa_relative_error,Omega_relative_error,Gamma1_relative_error
5_Kmimic_1,stock-trace,9.999999919769415E-9,1.7709238853160831,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,1.04517501912376724534092803922844568590527154908778153189729,1.04536280572561902204902511278428136843761772541770660821054,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,1.636008847275095,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,0.891972696382455148827010952027800348074324660163317765298223,0.892160482878957038336134806520835383997256914574469068698375,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,1.5113720982337233,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,0.761224154395011986728342633407384831315280282043729382003610,0.761411940801604376803402092250831816342291431802034503925049,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,1.3962306029848202,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,0.649638501345167542559864297123745552328740865792299675146423,0.649826287675027832550027913687272542369446975488280521857611,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,1.2898609806212558,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,0.554407168151746923353677256732256762675115232010538909192081,0.554594954416121194397018916510036128738043827409889179795859,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,1.1915949598673248,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,0.473133217837137119783046194070229736720040912058096163034514,0.473321004045623194455392244831443653252425671066249983146596,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,1.1008151806385544,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,0.403771015521585999027618153653965199735840686517435594492282,0.403958801682375014940911825534801972644834480729624405248304,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,1.0169513154530447,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,0.344574740559686849888662819950766569741676142503249811609754,0.344762526679769427555809654872987125969832468940087306871459,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,0.939476486326952,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,0.294054444888810319511984561533765446518797464524392615921136,0.294242230974152513646092315147550392567278379427702238750015,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,0.8679039546431343,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,0.250938551594586020480682735119778891370146551064176394598908,0.251126337650279483356980097260406149513950086460797495484135,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,0.8017840631969231,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,0.214141849796370788016217321026789294029169078846690671761063,0.214329635826760924452210679307362779521682849106854429193772,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,0.7407014112073016,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,0.182738180295960190480875639614219374821094989923383287990477,0.182925966304755530047578674906960265095657059369978055825552,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,0.6842722445453984,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,0.155937124497561181234212186280874715732162932534864445059327,0.156124910487926720556030624500282498876778225257671369352262,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
