ic,file,byte_identical,comparison_status,stock_rows,repaired_rows,matched_rows,stock_only_rows,repaired_only_rows,values,values_failing,max_bound_fraction,max_relative_error_above_atol,max_absolute_error_below_atol,coordinate_rows_changed,bulk_margin,near_zero_margin,combined_margin
variant,5_Kmouflage_2_lenspotentialCls.dat,True,matched coordinates,3499,3499,3499,0,0,27992,0,0.0,0.0,0.0,0,,,
variant,5_Kmouflage_2_matterpower.dat,True,matched coordinates,653,653,653,0,0,1306,0,0.0,0.0,0.0,0,,,
variant,5_Kmouflage_2_scalCls.dat,True,matched coordinates,3499,3499,3499,0,0,20994,0,0.0,0.0,0.0,0,,,
variant,5_Kmouflage_2_scalarCovCls.dat,True,matched coordinates,3499,3499,3499,0,0,90974,0,0.0,0.0,0.0,0,,,
variant,5_Kmouflage_2_tensCls.dat,True,matched coordinates,3499,3499,3499,0,0,17495,0,0.0,0.0,0.0,0,,,
variant,5_Kmouflage_2_totCls.dat,True,matched coordinates,3499,3499,3499,0,0,17495,0,0.0,0.0,0.0,0,,,
variant,5_Kmouflage_2_transfer_out.dat,True,matched coordinates,232,232,232,0,0,3016,0,0.0,0.0,0.0,0,,,
variant,5_Kmouflage_3_lensedCls.dat,True,matched coordinates,3399,3399,3399,0,0,16995,0,0.0,0.0,0.0,0,,,
variant,5_Kmouflage_3_lensedtotCls.dat,True,matched coordinates,3399,3399,3399,0,0,16995,0,0.0,0.0,0.0,0,,,
variant,5_Kmouflage_3_lenspotentialCls.dat,True,matched coordinates,3499,3499,3499,0,0,27992,0,0.0,0.0,0.0,0,,,
variant,5_Kmouflage_3_matterpower.dat,True,matched coordinates,654,654,654,0,0,1308,0,0.0,0.0,0.0,0,,,
variant,5_Kmouflage_3_scalCls.dat,True,matched coordinates,3499,3499,3499,0,0,20994,0,0.0,0.0,0.0,0,,,
variant,5_Kmouflage_3_scalarCovCls.dat,True,matched coordinates,3499,3499,3499,0,0,90974,0,0.0,0.0,0.0,0,,,
variant,5_Kmouflage_3_tensCls.dat,True,matched coordinates,3499,3499,3499,0,0,17495,0,0.0,0.0,0.0,0,,,
variant,5_Kmouflage_3_totCls.dat,True,matched coordinates,3499,3499,3499,0,0,17495,0,0.0,0.0,0.0,0,,,
variant,5_Kmouflage_3_transfer_out.dat,True,matched coordinates,250,250,250,0,0,3250,0,0.0,0.0,0.0,0,,,
