model,arm,ic,a,H_saved,H_analytic,relative_H_residual
5_Kmimic_1,consistent-background-trace,variant,0.0000099999997474,6576596959.0,6576596958.97231950518168981738612692483853251646166008430374,4.20893890729151836623489749745929101846606192433085665695574E-12
5_Kmimic_1,consistent-background-trace,variant,0.000021544346486,1443385790.6,1443385790.65276892117222592679440320586806434937049579850615,3.65591247426381178223671509625252907240465303264285914412655E-11
5_Kmimic_1,consistent-background-trace,variant,0.000046415887724,322925855.20,322925855.207848034721174629605760486638218663180791107911459,2.43028998595461476193298579908167781626300457419337365925466E-11
5_Kmimic_1,consistent-background-trace,variant,0.00010000000443,74821773.415,74821773.4190591230651889448365873959887950331964415358963406,5.42505594254596583531688157362455032940393681178876594420314E-11
5_Kmimic_1,consistent-background-trace,variant,0.00021544346877,18320749.932,18320749.9312665467784445243145150612186298543636486255422548,4.00340173998219979352829246056730488400934338862521187323196E-11
5_Kmimic_1,consistent-background-trace,variant,0.00046415895732,4812427.8284,4812427.82847009896887846736565478776469892902784100762898197,1.45662379524457758191037972131066206834554582984964940186737E-11
5_Kmimic_1,consistent-background-trace,variant,0.0010000001139,1353870.5937,1353870.59370032628808800759970613967779069370819273067896312,2.41003896181692412394399052835469247466185219707774024647836E-13
5_Kmimic_1,consistent-background-trace,variant,0.0021544348376,401096.74045,401096.740449696687131121404245662533848243111556462357062781,7.56208760356171960353476743784613928386869136470440743518139E-13
5_Kmimic_1,consistent-background-trace,variant,0.0046415889407,122667.49234,122667.492337334975528584349492975226402510128242320915376040,2.17255967377970653885527501074362612806231971266528623324102E-11
5_Kmimic_1,consistent-background-trace,variant,0.0099999997765,38163.288555,38163.2885553446480597526695833516545053654089441814747556140,9.03087948652168003027496495004651571194908800670199117503669E-12
5_Kmimic_1,consistent-background-trace,variant,0.10900000127,1048.2253748,1048.22537485576050814631423243962814697962167935516726138646,5.31951520005772366780101879048175382949914849222528836580286E-11
5_Kmimic_1,consistent-background-trace,variant,0.20800000277,401.12944226,401.129442265833246743819564679744432130589622430934997181408,1.45420558283373344721169434606015840796550591411306823635060E-11
