arm,file,line,column,coordinate,reference,candidate,absolute_error,allowed,bound_fraction
consistent-background-trace,5_Kmimic_3_scalCls.dat,2208,2,2208.0,122.885,122.886,0.000999999999990564,100.0122885,9.99877130089433e-06
consistent-background-trace,5_Kmimic_3_scalarCovCls.dat,1608,2,1608.0,370.359,370.36,0.0010000000000331966,0.1370359,0.007297357845887075
consistent-background-trace,5_Kmimic_3_totCls.dat,592,2,592.0,2237.52,2237.53,0.010000000000218279,0.32375200000000004,0.03088784007579344
consistent-background-trace,5_Kmouflage_1_lensedCls.dat,2265,2,2265.0,144.819,144.818,0.0009999999999763531,0.1144819,0.008735005271369126
consistent-background-trace,5_Kmouflage_1_lensedtotCls.dat,1147,2,1147.0,1094.68,1094.67,0.009999999999990905,0.20946800000000002,0.04773998892427914
consistent-background-trace,5_Kmouflage_1_lenspotentialCls.dat,2174,2,2174.0,208.406,208.405,0.0010000000000047748,0.1208406,0.008275364405711116
consistent-background-trace,5_Kmouflage_1_scalCls.dat,1870,2,1870.0,327.671,327.67,0.0009999999999763531,100.0327671,9.996724363094752e-06
consistent-background-trace,5_Kmouflage_1_scalarCovCls.dat,1987,2,1987.0,214.681,214.68,0.0010000000000047748,0.12146810000000001,0.008232614159641707
consistent-background-trace,5_Kmouflage_1_totCls.dat,2174,2,2174.0,208.406,208.405,0.0010000000000047748,0.1208406,0.008275364405711116
consistent-background-trace,5_Kmouflage_1_transfer_out.dat,217,4,4.37931,-1.86102e-05,-1.861e-05,2.0000000000043854e-10,1000.000000001861,2.0000000000006632e-13
consistent-background-trace,5_Kmouflage_2_lensedCls.dat,822,2,822.0,2895.78,2895.77,0.010000000000218279,0.3895780000000001,0.02566880060018347
consistent-background-trace,5_Kmouflage_2_lensedtotCls.dat,2232,2,2232.0,290.847,290.846,0.0009999999999763531,0.1290847,0.007746851485701661
consistent-background-trace,5_Kmouflage_2_lenspotentialCls.dat,2386,2,2386.0,296.645,296.644,0.0009999999999763531,0.12966450000000002,0.00771221112930951
consistent-background-trace,5_Kmouflage_2_scalCls.dat,2040,2,2040.0,259.4,259.399,0.0009999999999763531,100.02594,9.99740667247269e-06
consistent-background-trace,5_Kmouflage_2_scalarCovCls.dat,2522,2,2522.0,224.143,224.142,0.0010000000000047748,0.1224143,0.008168980258064416
consistent-background-trace,5_Kmouflage_2_totCls.dat,2386,2,2386.0,296.645,296.644,0.0009999999999763531,0.12966450000000002,0.00771221112930951
consistent-background-trace,5_Kmouflage_2_transfer_out.dat,209,5,6.91767,-2.29633e-05,-2.29607e-05,2.600000000002313e-09,1000.0000000022964,2.5999999999963425e-12
consistent-background-trace,5_Kmouflage_3_lensedCls.dat,1589,5,1589.0,2.02128,2.02129,1.0000000000065512e-05,0.100202128,9.97982797337948e-05
consistent-background-trace,5_Kmouflage_3_lensedtotCls.dat,2247,2,2247.0,120.688,120.687,0.0010000000000047748,0.11206880000000001,0.008923090101837217
consistent-background-trace,5_Kmouflage_3_lenspotentialCls.dat,1504,5,1504.0,-0.10232,-0.102319,1.000000000001e-06,0.100010232,9.998976904693112e-06
consistent-background-trace,5_Kmouflage_3_scalCls.dat,886,2,886.0,2108.88,2108.87,0.010000000000218279,100.210888,9.97895558037394e-05
consistent-background-trace,5_Kmouflage_3_scalarCovCls.dat,175,3,175.0,-40.5973,-40.5972,9.999999999621423e-05,0.10405973,0.0009609865410588152
consistent-background-trace,5_Kmouflage_3_totCls.dat,1504,5,1504.0,-0.10232,-0.102319,1.000000000001e-06,0.100010232,9.998976904693112e-06
consistent-background-trace,5_Kmouflage_3_transfer_out.dat,239,5,18.214,-5.44486e-08,-5.44848e-08,3.6199999999998696e-11,1000.0000000000055,3.61999999999985e-14
