comparison,model,tag,field,matched_k,max_k_relative_gap,max_absolute_difference,max_relative_difference,reference_k,candidate_k,reference_value,candidate_value,zero_to_nonzero
corrected nominal-vs-variant,5_Kmimic_1,SAB_IC_D_DERIV,derivative,252,3.6637359812630166e-15,0.05169677734375,3.3571082545224657e-13,0.037789120985673615,0.037789120985673566,-2032564700.496183,-2032564700.4955006,0
corrected nominal-vs-variant,5_Kmimic_1,SAB_IC_D_DERIV,estimated_absolute_error,252,3.6637359812630166e-15,0.07135009765625,2.7437556321899803e-09,0.14400407710623783,0.14400407710623778,9704430.8908844,9704430.917510986,0
stock-vs-corrected nominal,5_Kmimic_1,SAB_IC_TRACE,k,252,0.0,0.0,0.0,7.089117726731538e-06,7.089117726731538e-06,7.089117726731538e-06,7.089117726731538e-06,0
stock-vs-corrected nominal,5_Kmimic_1,SAB_IC_TRACE,a,252,0.0,0.0,0.0,7.089117726731538e-06,7.089117726731538e-06,2.1579406240381099e-07,2.1579406240381099e-07,0
stock-vs-corrected nominal,5_Kmimic_1,SAB_IC_TRACE,tau,252,0.0,0.0,0.0,7.089117726731538e-06,7.089117726731538e-06,0.1,0.1,0
stock-vs-corrected nominal,5_Kmimic_1,SAB_IC_TRACE,C,252,0.0,0.0,0.0,7.089117726731538e-06,7.089117726731538e-06,-0.855196103989296,-0.855196103989296,0
stock-vs-corrected nominal,5_Kmimic_1,SAB_IC_TRACE,D1,252,0.0,0.0,0.0,7.089117726731538e-06,7.089117726731538e-06,4.06709453929956,4.06709453929956,0
stock-vs-corrected nominal,5_Kmimic_1,SAB_IC_TRACE,D2,252,0.0,0.0,,,,,,0
stock-vs-corrected nominal,5_Kmimic_1,SAB_IC_TRACE,E,252,0.0,0.0,0.0,7.089117726731538e-06,7.089117726731538e-06,-1.0217710055943423e-11,-1.0217710055943423e-11,0
stock-vs-corrected nominal,5_Kmimic_1,SAB_IC_TRACE,A1,252,0.0,0.0,0.0,7.089117726731538e-06,7.089117726731538e-06,12.225384064306084,12.225384064306084,0
stock-vs-corrected nominal,5_Kmimic_1,SAB_IC_TRACE,A2,252,0.0,0.0,,,,,,0
stock-vs-corrected nominal,5_Kmimic_1,SAB_IC_TRACE,Omega,252,0.0,0.0,0.0,7.089117726731538e-06,7.089117726731538e-06,0.020304050350041895,0.020304050350041895,0
stock-vs-corrected nominal,5_Kmimic_1,SAB_IC_TRACE,Gamma1,252,0.0,0.0,0.0,7.089117726731538e-06,7.089117726731538e-06,1.6067024730214197e+21,1.6067024730214197e+21,0
stock-vs-corrected nominal,5_Kmimic_1,SAB_IC_TRACE,pi_scaled,252,0.0,0.0,0.0,7.089117726731538e-06,7.089117726731538e-06,-2.789749434435624e-15,-2.789749434435624e-15,0
stock-vs-corrected nominal,5_Kmimic_1,SAB_IC_TRACE,pi_velocity_scaled,252,0.0,0.25777379012136165,0.9990874184564216,33.22974864190532,33.22974864190532,0.2580092445960526,0.00023545447469095675,0
stock-vs-corrected nominal,5_Kmimic_1,SAB_IC_TRACE,z,252,0.0,0.0,0.0,7.089117726731538e-06,7.089117726731538e-06,-3.5438645832782833e-07,-3.5438645832782833e-07,0
stock-vs-corrected nominal,5_Kmimic_1,SAB_IC_TRACE,dz,252,0.0,0.0,0.0,7.089117726731538e-06,7.089117726731538e-06,-1.0138928268749233e-10,-1.0138928268749233e-10,0
