model,a,k,grid_coordinate,grid_phase,phase_product,C,A1,adotoa,normalized_C
5_Kmimic_2,2.302997056601205e-08,0.09368605699274597,151.2145655023942,0.21456550239420835,0.1685271475765293,-13557.270268545499,934.5641426724161,93.6879362955084,-0.0016527067262264233
5_Kmimic_2,2.395918006787495e-08,0.09005270115252309,153.12138661944365,0.12138661944365481,0.10665190806369614,-7271.311403229159,863.3561762561285,90.05453359244976,-0.0010385121490342714
5_Kmimic_2,2.496652529541319e-08,0.08641934531230021,155.10674952443796,0.1067495244379586,0.09535406347022828,-5507.430812457899,795.0834341905577,86.42116718302165,-0.0009274619261133355
5_Kmimic_2,2.6062294255619677e-08,0.08278598947207733,157.17740346922884,0.17740346922883532,0.145931478334409,-7137.302748258069,729.7396147591853,82.78783984190635,-0.001427029970326447
5_Kmimic_2,2.7258664049722053e-08,0.07915263363185446,159.34100695891496,0.34100695891496,0.2247212128865308,-9302.449793862466,667.2397947104967,79.1545269937816,-0.0022251734972934633
5_Kmimic_2,2.857015530578223e-08,0.07551927779163158,161.6062987320805,0.6062987320804893,0.23870057955808036,-8359.002332503756,607.4281017349841,75.52117389639575,-0.0024128043236034814
5_Kmimic_2,3.001422412029682e-08,0.0718859219514087,163.98331044774594,0.9833104477459358,0.01641101109962307,-485.8748863764057,550.0807191935266,71.88769196436408,-0.0001709184511502011
5_Kmimic_2,3.161204410134274e-08,0.06825256611118583,166.483636284909,0.4836362849090108,0.24973222882842094,-5779.383176381749,496.1902412527868,68.25445556629523,-0.0025001798869117853
5_Kmimic_2,3.33895509050338e-08,0.06461921027096294,169.12077413149868,0.12077413149867766,0.10618774065941777,-1919.510684682114,444.61335272376107,64.6210238326416,-0.0010338567401024568
5_Kmimic_2,3.5378861278101306e-08,0.06098585443074006,171.91056739185848,0.9105673918584785,0.08143441674252659,-1241.9852947619077,396.01108723687264,60.98765564337771,-0.0008431895775339042
5_Kmimic_2,3.7147860316214285e-08,0.058081766044584926,174.2626522262691,0.2626522262690969,0.19366603430498402,-2310.42537843377,359.30375217875246,58.083614590735586,-0.001906000120446984
5_Kmimic_2,3.910307619582802e-08,0.05517767765842979,176.73541258699638,0.7354125869963752,0.19458091388367407,-1961.696543315717,324.2862061390357,55.179524349099815,-0.0019867693244464382
